LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.43347928595486696
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;20.904544960366874
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.7034503351796831
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.248456731316587
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.4019037805745688
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;39.42080668885405
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.7155602737560138
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;70.37044834303673
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.8054278812236783
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;19.026297590440446
WhiteMatter;HDRFDST;STD;0.0
