LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4492840331587857
Amygdala;DICE;STD;0.042256204379239735
Amygdala;HDRFDST;MEAN;58.58778443434134
Amygdala;HDRFDST;STD;30.469189603190166
GreyMatter;DICE;MEAN;0.7070043578437554
GreyMatter;DICE;STD;0.007816210906632487
GreyMatter;HDRFDST;MEAN;20.62005726985543
GreyMatter;HDRFDST;STD;0.9017971988658287
Hippocampus;DICE;MEAN;0.37551730753845736
Hippocampus;DICE;STD;0.014960713131524422
Hippocampus;HDRFDST;MEAN;64.32729105474135
Hippocampus;HDRFDST;STD;7.382386169701092
Thalamus;DICE;MEAN;0.7085079029344389
Thalamus;DICE;STD;0.024687321933968002
Thalamus;HDRFDST;MEAN;68.00698648861984
Thalamus;HDRFDST;STD;3.6262637433976614
WhiteMatter;DICE;MEAN;0.8203658977090422
WhiteMatter;DICE;STD;0.019076499352344164
WhiteMatter;HDRFDST;MEAN;18.322627556736833
WhiteMatter;HDRFDST;STD;0.9387861402407367
