LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4269849162937179
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;70.27090436304346
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.7068273636831973
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.248456731316587
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.40050561524624434
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;38.40572873934304
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.7043255613713094
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;71.17583859709698
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.8005400937190184
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;18.439088914585774
WhiteMatter;HDRFDST;STD;0.0
