LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0014340344168260039
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;96.71607932500159
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.6669360964493699
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.83266665599966
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.005953624399415083
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;89.37001734362593
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.02021730694606131
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;71.37226352022192
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.7942357808644552
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;19.026297590440446
WhiteMatter;HDRFDST;STD;0.0
