LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.02294279596206791
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;97.9081201943945
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.6874461861569138
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.322401432901575
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.05575402400353229
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;90.29950165975447
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.06665445143427187
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;72.02777242147643
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.7792334465433519
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;19.339079605813716
WhiteMatter;HDRFDST;STD;0.0
