LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.037706205813040065
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;99.54396013822235
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.6837097214617084
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.322401432901575
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.023568613109025152
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;88.30628516702534
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.052123152245551266
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;71.34423592694787
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.771862005357472
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;19.026297590440446
WhiteMatter;HDRFDST;STD;0.0
