LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.055874473784921545
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;97.02576977277738
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.6747954911615875
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.83266665599966
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.0546260287600615
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;88.89319434017432
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.05887159987325095
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;71.47726911403373
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.7729674383426269
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;19.026297590440446
WhiteMatter;HDRFDST;STD;0.0
