LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;90.12768719988325
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.6834497467227061
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.322401432901575
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.029496428444507623
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;90.96153033013462
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.03752131893121091
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;71.37226352022192
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.7917207194650828
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;19.026297590440446
WhiteMatter;HDRFDST;STD;0.0
