LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0005003752814610958
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;97.88258272031854
Amygdala;HDRFDST;STD;0.0
GreyMatter;DICE;MEAN;0.6873165866643707
GreyMatter;DICE;STD;0.0
GreyMatter;HDRFDST;MEAN;20.248456731316587
GreyMatter;HDRFDST;STD;0.0
Hippocampus;DICE;MEAN;0.016607754025697134
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;85.68547134724766
Hippocampus;HDRFDST;STD;0.0
Thalamus;DICE;MEAN;0.028590337524818002
Thalamus;DICE;STD;0.0
Thalamus;HDRFDST;MEAN;71.25307010929424
Thalamus;HDRFDST;STD;0.0
WhiteMatter;DICE;MEAN;0.7895179854850897
WhiteMatter;DICE;STD;0.0
WhiteMatter;HDRFDST;MEAN;19.026297590440446
WhiteMatter;HDRFDST;STD;0.0
