LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0455586315302657
Amygdala;DICE;STD;0.019995531829446536
Amygdala;HDRFDST;MEAN;92.11393670444741
Amygdala;HDRFDST;STD;3.39450509044515
GreyMatter;DICE;MEAN;0.6765971939813158
GreyMatter;DICE;STD;0.008610006376332422
GreyMatter;HDRFDST;MEAN;20.88102548604126
GreyMatter;HDRFDST;STD;0.9913499136508016
Hippocampus;DICE;MEAN;0.08627004851827927
Hippocampus;DICE;STD;0.018432680453688424
Hippocampus;HDRFDST;MEAN;85.60239017608089
Hippocampus;HDRFDST;STD;3.6511362809416648
Thalamus;DICE;MEAN;0.09656652800339093
Thalamus;DICE;STD;0.03385421999550731
Thalamus;HDRFDST;MEAN;71.29054904917962
Thalamus;HDRFDST;STD;1.502536610706883
WhiteMatter;DICE;MEAN;0.7940174708073748
WhiteMatter;DICE;STD;0.017590880553587682
WhiteMatter;HDRFDST;MEAN;23.4555591519355
WhiteMatter;HDRFDST;STD;2.938833930329332
