LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.6736998698674068
GreyMatter;DICE;STD;0.009819299886086267
GreyMatter;HDRFDST;MEAN;20.895787618346713
GreyMatter;HDRFDST;STD;0.982883415745835
Hippocampus;DICE;MEAN;0.0
Hippocampus;DICE;STD;0.0
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.002803133169898842
Thalamus;DICE;STD;0.0011420477751556103
Thalamus;HDRFDST;MEAN;70.31863549478952
Thalamus;HDRFDST;STD;1.81369847299065
WhiteMatter;DICE;MEAN;0.7952615056626738
WhiteMatter;DICE;STD;0.0200914951733248
WhiteMatter;HDRFDST;MEAN;23.455972010274472
WhiteMatter;HDRFDST;STD;2.969406852086923
