LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;5.8258083309059125e-05
Amygdala;DICE;STD;0.0001747742499271774
Amygdala;HDRFDST;MEAN;79.19479812342091
Amygdala;HDRFDST;STD;15.5365359778365
GreyMatter;DICE;MEAN;0.686105785868839
GreyMatter;DICE;STD;0.009362349096455674
GreyMatter;HDRFDST;MEAN;20.950447869460156
GreyMatter;HDRFDST;STD;0.9374081656528693
Hippocampus;DICE;MEAN;0.04211634621022341
Hippocampus;DICE;STD;0.007121338439855723
Hippocampus;HDRFDST;MEAN;86.39836545368587
Hippocampus;HDRFDST;STD;3.467340036878315
Thalamus;DICE;MEAN;0.0841246784954877
Thalamus;DICE;STD;0.016393970367375315
Thalamus;HDRFDST;MEAN;71.46845597907233
Thalamus;HDRFDST;STD;1.1224081108929789
WhiteMatter;DICE;MEAN;0.7985658488435452
WhiteMatter;DICE;STD;0.017936533099055987
WhiteMatter;HDRFDST;MEAN;23.356901990282662
WhiteMatter;HDRFDST;STD;2.941960131668983
