LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.44915887513508784
Amygdala;DICE;STD;0.042384785188143176
Amygdala;HDRFDST;MEAN;65.4753008782149
Amygdala;HDRFDST;STD;30.06800583522679
GreyMatter;DICE;MEAN;0.7109692161981489
GreyMatter;DICE;STD;0.008174734413580813
GreyMatter;HDRFDST;MEAN;20.082399067414674
GreyMatter;HDRFDST;STD;0.8928872812971949
Hippocampus;DICE;MEAN;0.3677411658391375
Hippocampus;DICE;STD;0.013653489811764346
Hippocampus;HDRFDST;MEAN;68.56455065207606
Hippocampus;HDRFDST;STD;4.701318312866709
Thalamus;DICE;MEAN;0.7182117459214586
Thalamus;DICE;STD;0.025576852501799627
Thalamus;HDRFDST;MEAN;69.46173489825183
Thalamus;HDRFDST;STD;2.01677587376116
WhiteMatter;DICE;MEAN;0.8205616530476515
WhiteMatter;DICE;STD;0.019344668402648518
WhiteMatter;HDRFDST;MEAN;21.97071276538902
WhiteMatter;HDRFDST;STD;2.9979627383895133
