LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;HDRFDST;MEAN;90.69139432854374
Amygdala;HDRFDST;STD;11.843605647968229
GreyMatter;DICE;MEAN;0.6832467715774289
GreyMatter;DICE;STD;0.008845993960320235
GreyMatter;HDRFDST;MEAN;20.928502862088433
GreyMatter;HDRFDST;STD;0.9475061749436026
Hippocampus;DICE;MEAN;0.02420840410307923
Hippocampus;DICE;STD;0.003927609300444487
Hippocampus;HDRFDST;MEAN;87.38173345637118
Hippocampus;HDRFDST;STD;3.3515158003061103
Thalamus;DICE;MEAN;0.025821884541475482
Thalamus;DICE;STD;0.00587004850553276
Thalamus;HDRFDST;MEAN;70.7083409087552
Thalamus;HDRFDST;STD;1.5907626885414992
WhiteMatter;DICE;MEAN;0.7930933159078406
WhiteMatter;DICE;STD;0.019984815041296924
WhiteMatter;HDRFDST;MEAN;23.495032137056064
WhiteMatter;HDRFDST;STD;2.9805141970309106
